,title
0,Better biodiversity accounting is needed to prevent bioperversity and maximize co-benefits from savanna burning
1,"Temporal variation in native bee diversity in the tropical sub-deciduous forest of the Yucatan Peninsula, Mexico"
2,Maximizing the Ecological Contribution of Conservation Banks
3,Management of urban wetlands for conservation can reduce aquatic biodiversity and increase mosquito risk
4,Broken bridges: The isolation of Kilimanjaro&apos;s ecosystem
5,"Beta diversity of macroalgal communities around St. Eustatius, Dutch Caribbean"
6,
7,Ecological Efficiency of Voluntary Conservation of Boreal-Forest Biodiversity
8,Elevational gradients of terricolous lichen species richness in the Western Himalaya
9,Effects of plant phylogenetic diversity on herbivory depend on herbivore specialization
10,The InBIO Barcoding Initiative Database: DNA barcodes of Portuguese Diptera 01
11,Similarity-based large-scale distribution mapping of orchids Kalle Remm · Liina Remm
12,"Landscape simplification and altitude affect biodiversity, herbivory and Andean potato yield"
13,Comparative analysis of morphological and molecular approaches integrated into the study of the dinoflagellate biodiversity within the recently deposited Black Sea sediments -benefits and drawbacks
14,Paying the colonization credit: converging plant species richness in ancient and post-agricultural forests in NE Germany over five decades
15,Cuscuta australis restrains three exotic invasive plants and benefits native species
16,Conservation of Vascular Epiphyte Diversity in Mexican Coffee Plantations
17,Spatial genetic structure of bristle-thighed curlews (Numenius tahitiensis): breeding area differentiation not reflected on the non-breeding grounds
18,Insect assemblages change along a gradient of invasion by a nonnative grass
19,"Benthic isopods (Crustacea, Malacostraca) from the Ross Sea, Antarctica: species checklist and their zoogeography in the Southern Ocean"
20,Tibetan sacred sites conserve old growth trees and cover in the eastern Himalayas
21,"Scale-and time-dependent effects of fertilization, mowing and dominant removal on a grassland community during a 15-year experiment"
22,Detecting the footprint of changing atmospheric nitrogen deposition loads on acid grasslands in the context of climate change
23,"Cloud forest dung beetles (Coleoptera: Scarabaeinae) in the Western Ghats, a global biodiversity hotspot in southwestern India"
24,"Description of a New Genus and Species of Rodent (Murinae, Muridae, Rodentia) from the Khammouan Limestone National Biodiversity Conservation Area in Lao PDR"
25,187-194 C Foundation for Environmental Conservation
26,Systematic Conservation Planning: A Better Recipe for Managing the High Seas for Biodiversity Conservation and Sustainable Use Seeking a future for the high seas
27,Tree pests and diseases: the threat to biodiversity and the delivery of ecosystem services
28,Bird foraging height predicts bird species response to woody vegetation change
29,Future land use threats to range- restricted fish species in the United States
30,Interventions for Reducing Extinction Risk in Chytridiomycosis-Threatened Amphibians
31,Experimental refuges for migratory waterfowl in Danish wetlands[ II[ Tests of hunting disturbance effects
32,Positive plant and bird diversity response to experimental deer population reduction after decades of uncontrolled browsing
33,The perpetual forest: using undesirable species to bridge restoration
34,
35,Red Lists versus nature protection Acts: new analytical and numerical method to test threat trends
36,"The first rapid forest inventory and resource use assessment of Dashtijum Nature Reserve, Tajikistan: a mixed methods approach"
37,Change in agricultural land use constrains adaptation of national wildlife refuges to climate change
38,Enhancing invertebrate food resources for skylarks in cereal ecosystems: how useful are in-crop agri-environment scheme management options?
39,Prioritizing refugia for freshwater biodiversity conservation in highly seasonal ecosystems
40,"Jakarta 10270, Indonesia ‡The Nature Conservancy"
41,Effects of prescribed burning on carabid beetle diversity in coastal anthropogenic heathlands
42,WHAT CAN WE DO FOR URBAN INSECT BIODIVERSITY? APPLYING LESSONS FROM ECOLOGICAL RESEARCH
43,How ethnobotany can aid biodiversity conservation: reflections on investigations in the semi-arid region of NE Brazil
44,
45,Revista Mexicana de Biodiversidad Clave dicotómica y distribución del complejo de especies de Stenocereus griseus (Cactaceae) Dichotomous key and distribution of the Stenocereus griseus species complex (Cactaceae)
46,Human Dimensions of Wildlife An International Journal How Messaging Shapes Attitudes toward Sea Otters as a Species at Risk How Messaging Shapes Attitudes toward Sea Otters as a Species at Risk
47,Environmental Conservation 23 (1): 45-54 O 1996 Foundation for Environmental Conservation Processes of wetland loss in India
48,Species Imperilment and Spatial Patterns of Development in the United States
49,Selecting priority areas for systematic conservation of Chinese Rhododendron: hotspot versus complementarity approaches
50,"Optimization, validation and efficacy of the phytohaemagglutinin inflammation assay for use in ecoimmunological studies of amphibians"
51,Systematics and Biodiversity Biodiversity image retrieval framework for monogeneans Biodiversity image retrieval framework for monogeneans
52,Compensation in Swedish infrastructure projects and suggestions on policy improvements 113 Compensation in Swedish infrastructure projects and suggestions on policy improvements Launched to accelerate biodiversity conservation
53,A conceptual framework for understanding forest socio-ecological systems
54,"Threats to the tropical island dragonfly fauna (Odonata) of Mayotte, Comoro archipelago"
55,Habitat Associations of Stream Fishes in Protected Tallgrass Prairie Streams
56,Bioclimatic constraints to Andean cat distribution: a modelling application for rare species
57,"Journal of Natural History Revision of the type species of Metroperiella (Bryozoa, Cheilostomatida), with the description of two new species"
58,Conservation (In)Action: Renewing the Relevance of UNESCO Biosphere Reserves
59,Diversity and abundance of solitary and primitively eusocial bees in an urban centre: a case study from Northampton (England)
60,Lizard species richness patterns in China and its environmental associations
61,Systematics and Biodiversity Establishing a baseline of plant diversity and endemism on a neotropical mountain summit for future comparative studies assessing upward migration: an approach from biogeography and nature conservation View supplementary material Establishing a baseline of plant diversity and endemism on a neotropical mountain summit for future comparative studies assessing upward migration: an approach from biogeography and nature conservation
62,"Ethnobotanical study on wild plants used by Lhoba people in Milin County, Tibet"
63,"Use of Modified Threat Reduction Assessments to Estimate Success of Conservation Measures within and Adjacent to Kruger National Park, South Africa"
64,
65,"Assessing human impact on fen biodiversity: effects of different management regimes on butterfly, grasshopper, and carabid beetle assemblages"
66,Capturing biodiversity: linking a cyanobacteria culture collection to the &quot;scratchpads&quot; virtual research environment enhances biodiversity knowledge
67,The development of ISIS: a habitat-based invertebrate assemblage classification system for assessing conservation interest in England
68,"Population differentiation and conservation of endemic races: the butterfly, Plebejus argus"
69,Effect of the Introduced Common Slipper Shell on the Suprabenthic Biodiversity of the Subtidal Communities in the Bay of Saint-Brieuc
70,C Foundation for Environmental Conservation
71,"Deep-water Holothuroidea (Echinodermata) collected during the TALUD cruises off the Pacific coast of Mexico, with the description of two new species Holothuroidea (Echinodermata) de mar profundo recolectadas durante las campañas TALUD frente a la costa del Pacífico mexicano, con la descripción de dos especies nuevas"
72,Effect of landscape variables on the long-term decline of Great Argus in the rainforest of Southern Thailand
73,"Projects come, projects go: lessons from participatory monitoring in southern Laos"
74,"Updated checklist and analysis of completeness of the marine fish fauna of Isla del Coco, Pacific of Costa Rica"
75,"Impacts of small-scale gold mining on birds and anurans near the Tambopata Natural Reserve, Peru, assessed using passive acoustic monitoring"
76,"The seaweed flora of Admiralty Bay, King George Island, Antarctic"
77,Consumption-Based Conservation Targeting: Linking Biodiversity Loss to Upstream Demand through a Global Wildlife Footprint
78,
79,Examining Landscape Factors Influencing Relative Distribution of Mosquito Genera and Frequency of Virus Infection
80,How local extinction changes rarity: an example with Sonoran Desert fishes
81,An emerging infectious pathogen endangers an ancient lineage of common carp by acting synergistically with conspecific exotic strains
82,&quot;As Far as Possible and as Appropriate&quot;: Implementing the Aichi Biodiversity Targets
83,Forecasting the effects of global change scenarios on bioaccumulation patterns in great lakes species
84,"Diversity and spatial distribution of seaweeds in the South Shetland Islands, Antarctica: an updated database for environmental monitoring under climate change scenarios"
85,article Zooplankton communities as eutrophication bioindicators in tropical reservoirs
86,The effect of organic farming on butterfly diversity depends on landscape context
87,Light-driven tipping points in polar ecosystems
